,material_id,formula_pretty_reduced,0.2,0.5
0,mp-557969,LiLa2S2O8F3,-2.4056141534,-2.4056141534
1,mp-557962,SrLiBS3,-1.5144509453,
2,mp-752768,LiAgF4,0.8935450318,
3,mp-772535,LiNb13O33,-7.3034324626,-7.3034324626
4,mp-6597,CsLiSO4,1.1370415129,
5,mp-849779,LiSi6BiO14,-4.2722762313,-4.2722762313
6,mp-559708,Li6ZrBeF12,-3.469314816,
7,mp-31488,Li3NbO4,3.2134449586,
8,mp-13182,Li2TiGeO5,-2.1256167084,
9,mp-39387,SrLiTa2O6F,-4.8138079003,-4.8138079003
10,mp-753327,LiSiBiO4,-2.3890023829,-2.3890023829
11,mp-6332,Li2TiSiO5,3.434511831,
12,mp-696129,Li10Si(PS6)2,-2.5509604559,
13,mp-696128,Li10Ge(PS6)2,-2.276746458,
14,mp-676650,Li6Br3N,-2.2608737507,
15,mp-985583,Li3PS4,7.3752500299,
16,mp-985582,Li6PS5I,-4.8572197225,-4.8572197225
17,mp-555002,LiEr2S2O8F3,-2.8048179496,-2.8048179496
18,mp-552663,LiScAs2O7,-1.097429763,
19,mp-9018,LiCdPO4,-1.0960508983,
20,mp-560058,Li9Ga3P8O29,-2.157863243,
21,mp-776108,LiNbO3,-2.7147368844,-2.7147368844
22,mp-6011,Ba4LiMo2N7,-1.2690496981,
23,mp-585305,Li9Bi3P8O29,-3.9484639369,-3.9484639369
24,mp-756432,Li2Ti(TeO4)3,-1.796717417,
25,mp-696127,Li10Ge(PSe6)2,2.9611797004,
26,mp-6478,LiTaGeO5,-2.9618314558,
27,mp-753425,LiCuCO3,4.509271362,
28,mp-850190,Li4Ti(TeO4)3,3.4329675713,
29,mp-989536,Cs2LiNF6,-9.5825171174,-9.5825171174
30,mp-559908,LiTa3O8,3.3521931665,
31,mp-556641,Na2LiAlP2H2O9,2.9278078062,
32,mp-40189,BaLiLaTeO6,-1.9457704615,-1.9457704615
33,mp-675488,Li6I3N,-1.5578469868,
34,mp-560209,Li9Al3P8O29,6.3895151978,
35,mp-30301,LiClO4,-2.8210641349,-2.8210641349
36,mp-40286,NaLiLa2Ti4O12,2.832751336,
37,mp-6783,NaLiSO4,-2.3496382763,
38,mp-30959,LiHS,1.8270274239,
