,formula_pretty_reduced,material_id,d_fav
4,LiP(HO2)2,mp-24610,-16.802681116663013
28,Cs3LiI4,mp-569238,-5.0295382193343166
33,Cs3Li2F5,mp-558728,-4.2901561295521375
59,LiAgF2,mp-753277,-5.884695688822422
78,CsLi2I3,mp-569055,-4.3378589770757685
88,LiInSe2,mp-20187,-4.333021476221865
102,KBaLiZnF6,mp-703273,-4.449562364273994
111,LiCaSb,mp-16264,-4.001084843926683
124,LiInTe2,mp-20782,-4.73642517861278
130,LiHF2,mp-24199,-24.292323422613155
136,LiB(HO)4,mp-23662,-20.99131168040243
177,Rb2LiDyBr6,mp-567628,-4.056256607876362
178,LiLa2HO3,mp-24148,-18.798027904773022
209,Sr2LiIn(B2O5)2,mp-14854,-11.783523287213155
212,BaLiBO3,mp-6499,-11.610103817809431
220,K2LiAlH6,mp-24411,-8.646948097528249
248,Li3AlH6,mp-31096,-7.966600538805839
282,KLiYF5,mp-556237,-4.340992282891562
286,Cs2LiF3,mp-553988,-6.343472907481725
296,LiH3O2,mp-27281,-19.431979967952664
324,SrLiBO3,mp-10814,-13.702624954624204
337,Sr2LiReN4,mp-10556,-4.8176783986411
348,K5Li2NdF10,mp-557798,-7.671953271548034
399,Ba2Li(BO2)5,mp-6075,-7.5146478704544215
411,LiB2H3O5,mp-24560,-30.538115848326118
414,SrLi(B3O5)3,mp-18495,-6.674591715453115
430,LiAgF2,mp-752882,-5.787413850298152
431,LiAgF2,mp-758604,-5.998061112169932
435,K4LiIO6,mp-558483,-4.540051317436626
437,CsLi(B3O5)2,mp-5990,-8.054921799192883
451,Sr2LiSc(B2O5)2,mp-8796,-10.711893096053332
501,Cs2Li3Br5,mp-571409,-4.051750915566066
517,LiH,mp-23703,-7.938942838386954
519,LiH2N,mp-23702,-6.192049018208106
531,KLiZnS2,mp-774907,-5.456659341075319
564,BaLiH3,mp-23818,-6.586166202011967
568,K2LiAlH6,mp-23774,-5.418337999907703
608,LiInSe2,mp-20310,-4.229922990803279
612,LiGaTe2,mp-5048,-4.380245963526132
628,LiMgH3,mp-23736,-7.690826210397081
635,LiH6ClO7,mp-23797,-20.231566432371867
666,KLiO,mp-559612,-5.636492543341834
673,LiHO,mp-23856,-18.431089024709078
679,LiH2SO4,mp-24446,-11.736062839721889
688,LiH6BrO7,mp-23985,-12.61007002838732
699,Cs3LiF4,mp-559766,-8.51001295436172
716,LiBH4,mp-30209,-11.648862549142848
718,Na2LiNF6,mp-989504,-4.250354888987832
746,KLiBeF4,mp-6253,-11.204188782254764
753,LiAgF2,mp-758302,-6.456575534506747
757,LiNd2HO3,mp-24150,-18.788979907509006
767,RbLiCl2,mp-28243,-4.878440442378853
791,Cs3Li2Cl5,mp-570756,-5.3265107153613815
795,LiLa4CuO8,mp-21496,-4.286257575151808
819,Na2LiBe2F7,mp-12240,-10.900806563069615
830,Cs2LiCl3,mp-571390,-5.344040242468545
844,Na2LiAlH6,mp-24413,-8.761649251107688
