,material_id,formula_pretty_reduced,298_tot
40,mp-559715,Li2Cd(PO3)4,1.512659243058994
89,mp-772535,LiNb13O33,1.402209878395471
110,mp-6597,CsLiSO4,1.0237230482438469
160,mp-37873,Li3ErBr6,1.9418552392174888
187,mp-31488,Li3NbO4,1.9829702219575136
207,mp-504354,LiBi(PO3)4,1.788744739315336
252,mp-6332,Li2TiSiO5,0.2520807458541861
265,mp-696129,Li10Si(PS6)2,1.8806688205063464
267,mp-696128,Li10Ge(PS6)2,1.963787161413906
295,mp-28237,RbLiBr2,1.3953090833574906
361,mp-552663,LiScAs2O7,0.95226383590427
520,mp-850190,Li4Ti(TeO4)3,0.3334150199655873
529,mp-866667,Li3AsH36(SeN3)4,0.208552649589972
683,mp-40189,BaLiLaTeO6,1.433099643806354
684,mp-558890,BaLi(B3O5)3,1.8197206945889115
790,mp-23057,CsLiBr2,1.6456011615151571
